Grande Sector,EPP,ME,MEI
Administração pública,3.0,8.0,0.0
Agricultura,150.0,773.0,1793.0
Comércio,82905.0,261220.0,186542.0
Indústria,25805.0,100118.0,147482.0
Não especificado,17.0,1193.0,0.0
Serviços,137324.0,734509.0,701429.0
